,Distrito_AVEIRO__,Distrito_BEJA__,Distrito_BRAGANÇA__,Distrito_BRAGA__,Distrito_CASTELO BRANCO__,Distrito_COIMBRA__,Distrito_FARO__,Distrito_GUARDA__,Distrito_LEIRIA__,Distrito_LISBOA__,Distrito_PORTALEGRE__,Distrito_PORTO__,Distrito_SANTARÉM__,Distrito_SETÚBAL__,Distrito_VIANA DO CASTELO__,Distrito_VILA REAL__,Distrito_VISEU__,Distrito_ÉVORA__,Grouped_Acidentes__,Grouped_Assistência e Prevenção__,Grouped_Incêndios em Bens__,Grouped_Incêndios__,Grouped_Operações__,Grouped_Segurança e Serviços__,MesOcorrencia__,NumeroMeiosTerrestresEnvolvidos_max_max,NumeroMeiosTerrestresEnvolvidos_max_mean,NumeroMeiosTerrestresEnvolvidos_max_min,NumeroOperacionaisTerrestresEnvolvidos_max_max,NumeroOperacionaisTerrestresEnvolvidos_max_mean,NumeroOperacionaisTerrestresEnvolvidos_max_min
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,6.0,3.8333333333333335,2.0,13.0,8.833333333333334,4.0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,4.0,2.6666666666666665,2.0,11.0,6.444444444444445,4.0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,5.0,3.066666666666667,2.0,13.0,7.133333333333334,4.0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,6.0,3.272727272727273,2.0,13.0,7.181818181818182,4.0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2.0,1.8,1.0,5.0,3.8,2.0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2.0,1.25,1.0,4.0,2.5,1.0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3.0,1.6666666666666667,1.0,9.0,4.333333333333333,2.0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2.0,1.2,1.0,5.0,3.6,2.0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,3.0,1.4736842105263157,1.0,8.0,3.3157894736842106,2.0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,4.0,1.3333333333333333,1.0,8.0,4.095238095238095,1.0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,6.0,1.4545454545454546,1.0,13.0,4.2272727272727275,1.0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,5.0,1.5555555555555556,1.0,13.0,3.8333333333333335,2.0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,3.0,1.3,1.0,7.0,3.0,1.0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,6.0,1.6363636363636365,0.0,13.0,4.590909090909091,0.0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,3.0,1.2727272727272727,1.0,10.0,3.772727272727273,2.0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,3.0,1.25,1.0,8.0,2.65,1.0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3.0,3.0,3.0,8.0,8.0,8.0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2.0,2.0,2.0,9.0,9.0,9.0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,6.0,4.666666666666667,4.0,13.0,12.0,11.0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,2.0,2.0,2.0,7.0,7.0,7.0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,2.0,2.0,2.0,6.0,6.0,6.0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,2.0,2.0,2.0,7.0,7.0,7.0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,1.0,1.0,1.0,5.0,5.0,5.0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,5.0,2.6,1.0,13.0,8.6,6.0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,5.0,4.0,3.0,13.0,12.0,11.0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6.0,4.714285714285714,2.0,13.0,11.857142857142858,5.0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6.0,4.375,1.0,13.0,11.625,5.0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,6.0,3.3076923076923075,1.0,13.0,9.76923076923077,5.0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,6.0,5.0,2.0,13.0,12.5,9.0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,6.0,3.3,1.0,13.0,9.4,4.0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,6.0,4.117647058823529,0.0,13.0,10.705882352941176,0.0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,6.0,4.958333333333333,1.0,13.0,12.291666666666666,5.0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,6.0,4.8076923076923075,1.0,13.0,11.653846153846153,3.0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,6.0,4.5,1.0,13.0,11.136363636363637,5.0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,6.0,3.6923076923076925,1.0,13.0,10.153846153846153,5.0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,6.0,3.4,1.0,13.0,10.266666666666667,4.0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,6.0,3.5,1.0,13.0,9.722222222222221,2.0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3.0,1.75,1.0,10.0,7.0,3.0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3.0,3.0,3.0,8.0,8.0,8.0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2.0,2.0,2.0,4.0,4.0,4.0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1.0,1.0,1.0,2.0,2.0,2.0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,2.0,1.4,1.0,6.0,5.0,4.0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,4.0,1.6666666666666667,1.0,11.0,5.166666666666667,2.0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,3.0,2.0,1.0,13.0,7.4,3.0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,6.0,2.0,0.0,13.0,6.5,0.0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,5.0,2.625,1.0,13.0,10.5,5.0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,4.0,3.0,2.0,13.0,8.875,4.0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,5.0,1.8333333333333333,1.0,13.0,5.833333333333333,2.0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,6.0,2.0,1.0,13.0,5.533333333333333,2.0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6.0,3.0,1.0,13.0,8.571428571428571,5.0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,6.0,3.142857142857143,1.0,13.0,7.285714285714286,5.0
